"time","an.cell.ca.cyto.c.c","an.cell.ca.sub.c.c","an.cell.l2.v","n.cell.ca.cyto.c.c","n.cell.ca.sub.c.c","n.cell.l2.v","nh.cell.ca.cyto.c.c","nh.cell.ca.sub.c.c","nh.cell.l2.v","an.cell.v","n.cell.v","nh.cell.v"
0,0.0001206,6.397e-05,-0.09,0.0003623,0.0002294,-0.09,0.0001386,7.313999999999999e-05,-0.09,-0.09,-0.09,-0.09
0.0001,0.0001201665341523654,4.953973581397304e-05,-0.08979488275919764,0.0009084518300490094,0.0004195599338574384,-0.08964346247174129,0.0001380856467567313,5.611060229639564e-05,-0.08973705683462559,-0.08979488275919764,-0.08964346247174129,-0.08973705683462559
0.0002,0.0001199923095775774,4.94908735237336e-05,-0.08959325800565068,0.001091437609681401,0.0005398660499093487,-0.08924850560365112,0.0001378754156338825,5.606965185606925e-05,-0.08947906938269205,-0.08959325800565068,-0.08924850560365112,-0.08947906938269205
0.0003,0.0001199058968120735,4.948079333885803e-05,-0.08939401671130602,0.001158318826370292,0.0005885675617356519,-0.08884128972089556,0.0001377705133703082,5.607634165873463e-05,-0.08922468819484303,-0.08939401671130602,-0.08884128972089556,-0.08922468819484303
0.0004,0.000119840524400639,4.948276582306928e-05,-0.08919709156137826,0.001187342542295228,0.0006121490536572612,-0.08843220653555389,0.0001376912178346427,5.60977483594801e-05,-0.08897381128531399,-0.08919709156137826,-0.08843220653555389,-0.08897381128531399
0.0005,0.0001197804468803553,4.949095081123014e-05,-0.08900242708794981,0.001203540425408673,0.0006271430272954711,-0.08802465036806459,0.0001376184652174715,5.612666154116588e-05,-0.08872635113270722,-0.08900242708794981,-0.08802465036806459,-0.08872635113270722
0.0005999999999999999,0.0001197219374847922,4.95037626274297e-05,-0.0888099731399897,0.001215005294701033,0.0006390136472923073,-0.08761975877088121,0.0001375476822240193,5.616109491280059e-05,-0.08848222684436381,-0.0888099731399897,-0.08761975877088121,-0.08848222684436381
0.0007,0.0001196641050645634,4.952063129573304e-05,-0.08861968303903475,0.001224393805605908,0.0006495435263483896,-0.08721794514528428,0.000137477761543835,5.620032826656406e-05,-0.08824136199147641,-0.08861968303903475,-0.08721794514528428,-0.08824136199147641
0.0008,0.0001196067306617624,4.954123855191528e-05,-0.08843151284968412,0.001232600475845308,0.0006593150722187402,-0.08681938774131785,0.0001374084281854271,5.624396012270681e-05,-0.08800368378792157,-0.08843151284968412,-0.08681938774131785,-0.08800368378792157
0.0009,0.000119549756351355,4.956533680792653e-05,-0.08824542096241472,0.001239942409634082,0.0006685208669514919,-0.08642418626908764,0.0001373396087951609,5.629167994079776e-05,-0.08776912263765814,-0.08824542096241472,-0.08642418626908764,-0.08776912263765814
0.001,0.0001194931636885965,4.95927056293561e-05,-0.08806136779112031,0.001246545324395785,0.0006772275034502183,-0.08603241224369278,0.0001372712798261605,5.634321253624856e-05,-0.08753761180969902,-0.08806136779112031,-0.08603241224369278,-0.08753761180969902
0.0011,0.0001194369443977533,4.962314074120691e-05,-0.08787931553156644,0.001252470712743328,0.0006854615871912997,-0.08564412516458243,0.0001372034305670735,5.639830380970264e-05,-0.08730908717621402,-0.08787931553156644,-0.08564412516458243,-0.08730908717621402
0.0012,0.0001193810930918124,4.965645078303503e-05,-0.087699227962087,0.001257758199242889,0.0006932377050824503,-0.08525937768434284,0.00013713605391913,5.645671645396545e-05,-0.08708348699268577,-0.087699227962087,-0.08525937768434284,-0.08708348699268577
0.0013,0.0001193256053545874,4.969245594917774e-05,-0.08752107027720105,0.001262439790029037,0.0007005673970153288,-0.0848782172463154,0.0001370691439800999,5.651822812160145e-05,-0.08686075171042217,-0.08752107027720105,-0.0848782172463154,-0.08686075171042217
0.0014,0.0001192704771795172,4.973098711844517e-05,-0.08734480894790886,0.001266544690399504,0.0007074619144183511,-0.08450068661276275,0.0001370026953510998,5.658263024218855e-05,-0.08664082381528314,-0.08734480894790886,-0.08450068661276275,-0.08664082381528314
0.0015,0.0001192157047781149,4.977188513750752e-05,-0.08717041160387866,0.001270100912712264,0.0007139329648229547,-0.08412682406360021,0.0001369367029070152,5.664972704896359e-05,-0.08642364768801558,-0.08717041160387866,-0.08412682406360021,-0.08642364768801558
0.0016,0.0001191612845019055,4.981500017496925e-05,-0.08699784693367033,0.001273135778180935,0.0007199928219124532,-0.08375666351247199,0.0001368711617052325,5.671933470497751e-05,-0.08620916948252091,-0.08699784693367033,-0.08375666351247199,-0.08620916948252091
0.0017,0.0001191072128050872,4.986019112411234e-05,-0.08682708459984856,0.001275676035254566,0.0007256542504070004,-0.08339023461432214,0.0001368060669421077,5.67912804991267e-05,-0.0859973370190598,-0.08682708459984856,-0.08339023461432214,-0.0859973370190598
0.0018,0.0001190534862242569,4.990732504720301e-05,-0.086658095166406,0.001277747847489208,0.0007309303886862573,-0.08302756288368565,0.0001367414139287809,5.686540210205727e-05,-0.08578809968994056,-0.086658095166406,-0.08302756288368565,-0.08578809968994056
0.0019,0.0001190001013661946,4.995627665788045e-05,-0.0864908500363651,0.001279376741325913,0.0007358346320825942,-0.08266866982620648,0.0001366771980759899,5.694154687668604e-05,-0.08558140837566203,-0.0864908500363651,-0.08266866982620648,-0.08558140837566203
0.002,0.0001189470548997963,5.00069278391595e-05,-0.08632532139783174,0.001280587546648935,0.0007403805279822963,-0.08231357308139926,0.0001366134148835419,5.701957123943931e-05,-0.08537721536986538,-0.08632532139783174,-0.08231357308139926,-0.08537721536986538
0.0021,0.0001188943435502753,5.005916719472877e-05,-0.08616148217706003,0.001281404342123979,0.0007445816842268142,-0.08196228657382369,0.0001365500599323991,5.709934006853924e-05,-0.08517547431171968,-0.08616148217706003,-0.08196228657382369,-0.08517547431171968
